5000,1,100,0,1.27833,-O3
5000,1,100,1,1.15383,-O3
5000,1,100,2,1.12282,-O3
5000,1,100,3,1.13867,-O3
5000,1,100,4,1.10527,-O3
5000,1,100,5,1.11989,-O3
5000,1,100,6,1.10018,-O3
5000,1,100,7,1.12929,-O3
5000,1,100,8,1.28769,-O3
5000,1,100,9,1.14909,-O3
5000,1,100,10,1.17035,-O3
5000,1,100,11,1.12928,-O3
5000,1,100,12,1.14181,-O3
5000,1,100,13,1.22809,-O3
5000,1,100,14,1.28067,-O3
5000,1,100,15,1.11474,-O3
5000,1,100,16,1.0895,-O3
5000,1,100,17,1.09485,-O3
5000,1,100,18,1.08815,-O3
5000,1,100,19,1.12827,-O3
5000,1,100,20,1.14727,-O3
5000,1,100,21,1.10827,-O3
5000,1,100,22,1.09088,-O3
5000,1,100,23,1.10141,-O3
5000,1,100,24,1.19558,-O3
5000,1,100,25,1.0978,-O3
5000,1,100,26,1.14333,-O3
5000,1,100,27,1.17577,-O3
5000,1,100,28,1.08029,-O3
5000,1,100,29,1.07753,-O3
5000,1,100,30,1.09227,-O3
5000,1,100,31,1.08665,-O3
5000,1,100,32,1.09184,-O3
5000,1,100,33,1.09525,-O3
5000,1,100,34,1.11795,-O3
5000,1,100,35,1.11483,-O3
5000,1,100,36,1.11059,-O3
5000,1,100,37,1.09835,-O3
5000,1,100,38,1.08529,-O3
5000,1,100,39,1.08415,-O3
5000,1,100,40,1.10669,-O3
5000,1,100,41,1.09974,-O3
5000,1,100,42,1.10559,-O3
5000,1,100,43,1.10922,-O3
5000,1,100,44,1.36961,-O3
5000,1,100,45,1.12692,-O3
5000,1,100,46,1.09971,-O3
5000,1,100,47,1.09739,-O3
5000,1,100,48,1.10259,-O3
5000,1,100,49,1.11987,-O3
10000,4,100,0,2.16662,-O3
10000,4,100,1,2.15934,-O3
10000,4,100,2,2.17445,-O3
10000,4,100,3,2.16493,-O3
10000,4,100,4,2.18921,-O3
10000,4,100,5,2.16704,-O3
10000,4,100,6,2.20224,-O3
10000,4,100,7,2.20122,-O3
10000,4,100,8,2.18636,-O3
10000,4,100,9,2.19051,-O3
10000,4,100,10,2.18793,-O3
10000,4,100,11,2.17376,-O3
10000,4,100,12,2.1962,-O3
10000,4,100,13,2.19742,-O3
10000,4,100,14,2.1901,-O3
10000,4,100,15,2.17798,-O3
10000,4,100,16,2.18666,-O3
10000,4,100,17,2.1788,-O3
10000,4,100,18,2.17729,-O3
10000,4,100,19,2.1839,-O3
10000,4,100,20,2.18133,-O3
10000,4,100,21,2.17685,-O3
10000,4,100,22,2.16116,-O3
10000,4,100,23,2.19132,-O3
10000,4,100,24,2.24601,-O3
10000,4,100,25,2.27327,-O3
10000,4,100,26,2.10668,-O3
10000,4,100,27,2.17473,-O3
10000,4,100,28,2.15357,-O3
10000,4,100,29,2.18884,-O3
10000,4,100,30,2.19179,-O3
10000,4,100,31,2.07945,-O3
10000,4,100,32,2.13246,-O3
10000,4,100,33,2.14255,-O3
10000,4,100,34,2.12967,-O3
10000,4,100,35,2.13361,-O3
10000,4,100,36,2.1424,-O3
10000,4,100,37,2.14504,-O3
10000,4,100,38,2.12079,-O3
10000,4,100,39,2.06708,-O3
10000,4,100,40,2.13379,-O3
10000,4,100,41,2.14983,-O3
10000,4,100,42,2.14425,-O3
10000,4,100,43,2.1416,-O3
10000,4,100,44,2.14992,-O3
10000,4,100,45,2.09536,-O3
