1000,10,100,0,0.0120283,-O3,50
1000,10,100,1,0.0107928,-O3,50
1000,10,100,2,0.0098541,-O3,50
1000,10,100,3,0.010034,-O3,50
1000,10,100,4,0.0106893,-O3,50
1000,10,100,5,0.0107492,-O3,50
1000,10,100,6,0.0108365,-O3,50
1000,10,100,7,0.0106763,-O3,50
1000,10,100,8,0.0109061,-O3,50
1000,10,100,9,0.0109418,-O3,50
1000,10,100,10,0.0108296,-O3,50
1000,10,100,11,0.0107889,-O3,50
1000,10,100,12,0.0108855,-O3,50
1000,10,100,13,0.0109398,-O3,50
1000,10,100,14,0.0108841,-O3,50
1000,10,100,15,0.0108113,-O3,50
1000,10,100,16,0.0107702,-O3,50
1000,10,100,17,0.0108065,-O3,50
1000,10,100,18,0.010838,-O3,50
1000,10,100,19,0.0107654,-O3,50
1000,10,100,20,0.0108381,-O3,50
1000,10,100,21,0.010813,-O3,50
1000,10,100,22,0.0108402,-O3,50
1000,10,100,23,0.0108616,-O3,50
1000,10,100,24,0.0108039,-O3,50
1000,10,100,25,0.0108561,-O3,50
1000,10,100,26,0.0108205,-O3,50
1000,10,100,27,0.0107811,-O3,50
1000,10,100,28,0.0108357,-O3,50
1000,10,100,29,0.0108424,-O3,50
1000,10,100,30,0.0111216,-O3,50
1000,10,100,31,0.0116669,-O3,50
1000,10,100,32,0.0116874,-O3,50
1000,10,100,33,0.011234,-O3,50
1000,10,100,34,0.0112278,-O3,50
1000,10,100,35,0.0112653,-O3,50
1000,10,100,36,0.0107876,-O3,50
1000,10,100,37,0.0100683,-O3,50
1000,10,100,38,0.0090605,-O3,50
1000,10,100,39,0.0090772,-O3,50
1000,10,100,40,0.0095549,-O3,50
1000,10,100,41,0.0092017,-O3,50
1000,10,100,42,0.0089572,-O3,50
1000,10,100,43,0.0089658,-O3,50
1000,10,100,44,0.0090451,-O3,50
1000,10,100,45,0.0090331,-O3,50
1000,10,100,46,0.0089474,-O3,50
1000,10,100,47,0.0089075,-O3,50
1000,10,100,48,0.0088502,-O3,50
1000,10,100,49,0.00994,-O3,50
2000,10,100,0,0.0547133,-O3,50
2000,10,100,1,0.0405636,-O3,50
2000,10,100,2,0.0410258,-O3,50
2000,10,100,3,0.0406718,-O3,50
2000,10,100,4,0.0407212,-O3,50
2000,10,100,5,0.0404291,-O3,50
2000,10,100,6,0.0424185,-O3,50
2000,10,100,7,0.0413326,-O3,50
2000,10,100,8,0.0408126,-O3,50
2000,10,100,9,0.0422881,-O3,50
2000,10,100,10,0.0452596,-O3,50
2000,10,100,11,0.0420722,-O3,50
2000,10,100,12,0.0422768,-O3,50
2000,10,100,13,0.0501951,-O3,50
2000,10,100,14,0.0535025,-O3,50
2000,10,100,15,0.055364,-O3,50
2000,10,100,16,0.0440521,-O3,50
2000,10,100,17,0.0427158,-O3,50
2000,10,100,18,0.0432671,-O3,50
2000,10,100,19,0.0437486,-O3,50
2000,10,100,20,0.0437749,-O3,50
2000,10,100,21,0.0432759,-O3,50
2000,10,100,22,0.0466188,-O3,50
2000,10,100,23,0.0498977,-O3,50
2000,10,100,24,0.0533616,-O3,50
2000,10,100,25,0.0504892,-O3,50
2000,10,100,26,0.0509456,-O3,50
2000,10,100,27,0.0471628,-O3,50
2000,10,100,28,0.0482705,-O3,50
2000,10,100,29,0.0459284,-O3,50
2000,10,100,30,0.0481826,-O3,50
2000,10,100,31,0.0465593,-O3,50
2000,10,100,32,0.0475743,-O3,50
2000,10,100,33,0.0466789,-O3,50
2000,10,100,34,0.0472975,-O3,50
2000,10,100,35,0.047969,-O3,50
2000,10,100,36,0.0482123,-O3,50
2000,10,100,37,0.0477026,-O3,50
2000,10,100,38,0.0513036,-O3,50
2000,10,100,39,0.0495273,-O3,50
2000,10,100,40,0.0490153,-O3,50
2000,10,100,41,0.0495881,-O3,50
2000,10,100,42,0.0473114,-O3,50
2000,10,100,43,0.0457219,-O3,50
